Neufuen,2015,11202,10007,10690,11414,11916,10628,11586,10577,10759,10009,10429,10821
Neufuen,2016,11691,11016,10614,11876,10363,11613,11267,10052,11004,11723,10162,10948
Neufuen,2017,10269,11564,10825,11842,10302,11289,11715,11037,10929,10189,10159,11142
Neufuen,2018,11591,11145,11353,11258,10237,11260,10516,10222,10662,11655,10354,11604
Neufuen,2019,11922,11963,10949,10563,11282,11126,11395,10643,11935,11535,10598,11316
Neufuen,2020,11250,10541,11790,10093,11903,10919,10235,10538,11263,10518,11596,11221
Neufuen,2021,10223,11479,10668,10222,10946,11445,11832,10855,10110,11891,10210,11204
Neufuen,2022,10887,10146,11470,11896,10496,10090,10876,11139,10915,10536,11529,11766
Neufuen,2023,11882,11132,10031,10088,11338,11309,10386,10466,11494,11069,10857,11888
Neufuen,2024,11274,11325,11817,10555,11384,11771,10494,11176,10249,11887,11141,11417
Cupral-Co,2015,10800,11946,11430,10726,11833,10617,10117,10835,11980,10996,11042,12000
Cupral-Co,2016,10873,10723,10271,11808,10848,10104,10978,10238,11790,10771,11326,10415
Cupral-Co,2017,10982,10121,10286,10074,11697,10225,11181,11238,11806,11652,11141,10463
Cupral-Co,2018,11333,11677,10394,11473,11960,10273,11047,11650,10601,10383,11943,10995
Cupral-Co,2019,10970,11206,10467,11484,11348,10885,11311,11699,10708,11787,10475,10252
Cupral-Co,2020,11187,10742,10013,10893,11881,10903,11223,11819,10775,11252,11850,11650
Cupral-Co,2021,10035,11008,10544,10159,11944,10906,11480,10285,10642,11627,10644,11362
Cupral-Co,2022,10846,10136,11386,10938,10015,10515,11832,11586,10859,10604,10752,11314
Cupral-Co,2023,11866,10185,10715,11819,10542,10289,11429,10451,10156,11185,10257,11250
Cupral-Co,2024,11731,11790,11112,11537,10138,11688,10472,11983,10961,10583,11576,11059
Maravélica,2015,10320,10921,11414,10669,10228,11372,10540,11270,11406,10494,11233,11648
Maravélica,2016,11916,10639,11745,11338,10294,11085,10821,11686,11960,10916,10556,11842
Maravélica,2017,10442,10653,11072,10321,11613,11730,10163,10881,10209,10107,11089,10050
Maravélica,2018,11535,10320,11914,10515,10491,10196,11207,11349,11837,10817,10072,11526
Maravélica,2019,10578,11895,10947,11672,11743,10316,10338,11332,10415,10762,11188,10511
Maravélica,2020,11994,11273,11992,11703,11064,10319,11611,11880,11757,10475,10035,10637
Maravélica,2021,10566,10986,10064,10594,11912,10382,10422,11739,10755,10016,11586,11894
Maravélica,2022,10830,11449,10622,11123,11928,10014,11269,10048,10822,10362,11440,10695
Maravélica,2023,10696,10604,10040,11318,10035,10998,11527,11398,10688,11406,10240,10024
Maravélica,2024,10631,10182,10498,10985,10245,11078,10989,11678,10951,11265,10349,11611
Solandina,2015,11825,10353,11158,10648,11636,11734,11589,10545,10742,10179,10235,10655
Solandina,2016,11525,11885,10974,11778,11027,10511,11322,10156,11137,11231,11949,10047
Solandina,2017,11430,10417,11461,11781,10319,11465,10183,11931,11185,10091,11347,10308
Solandina,2018,11963,10687,10855,11567,10340,11132,11482,11327,10051,11624,10336,11437
Solandina,2019,11555,10883,11112,10367,10724,11509,10276,10477,10871,11888,10730,11693
Solandina,2020,11627,10411,11960,10011,10987,11787,11868,11130,11433,10413,10733,11307
Solandina,2021,10624,11051,11557,11764,11384,11161,11936,10928,10004,11809,10785,10107
Solandina,2022,11671,11320,10037,10363,10706,11963,11254,10586,11354,10072,11632,11475
Solandina,2023,10613,11033,11358,10191,11509,10495,11468,11381,10398,10723,11228,10007
Solandina,2024,10124,11500,10218,10901,10772,11610,10865,11646,11667,10475,11082,10338
Terraviva,2015,10677,11028,10140,10626,11888,11786,10585,11279,11998,10862,11947,11207
Terraviva,2016,10573,11829,10540,11232,11250,11979,11301,11204,10460,10874,10201,11553
Terraviva,2017,11421,10132,11819,10245,11232,10779,11185,10142,10901,10886,11879,10298
Terraviva,2018,10225,11481,10571,11558,11688,10107,11436,11936,11798,10827,11546,10755
Terraviva,2019,11072,10059,10167,11417,10433,11245,10844,11526,10781,11872,10008,11905
Terraviva,2020,11743,11348,10968,11209,11984,11840,11118,10373,10713,11220,11932,10767
Terraviva,2021,11668,10478,10892,11030,10320,11105,11919,11185,10513,11524,11877,11905
Terraviva,2022,11406,10007,10621,11608,10032,10447,11465,10726,11212,11120,11927,10948
Terraviva,2023,11331,10648,11337,11877,10045,10758,11716,10523,10666,11472,11381,10317
Terraviva,2024,11268,11479,10750,10005,10487,11559,11914,10632,11134,11219,11842,10621
Piedraluna,2015,11721,11280,11816,11563,10367,11390,10462,11903,10864,11668,10679,10549
Piedraluna,2016,10384,10810,10344,11960,11234,11256,11968,10840,11948,11214,10278,10818
Piedraluna,2017,11385,10670,11736,10222,10549,11566,11913,10425,10208,11459,11092,11418
Piedraluna,2018,11620,11465,11247,10875,11409,11575,11512,10534,11607,10019,10412,10883
Piedraluna,2019,11016,10793,10049,11842,10868,11036,10378,11335,11111,10215,11025,11445
Piedraluna,2020,10522,11078,10167,10217,11017,11254,10582,10186,10989,10020,10738,11350
Piedraluna,2021,10669,11657,11213,11013,11580,11456,10173,10672,11929,10082,11194,11614
Piedraluna,2022,10449,10989,10610,10873,10378,10985,10264,11521,11309,10882,11078,11429
Piedraluna,2023,11269,10524,11600,10221,11512,10297,10313,10848,11659,10670,10722,11501
Piedraluna,2024,11003,10853,11768,10759,11179,10157,10657,11918,11469,10267,11523,10544
Valleverde,2015,10910,10074,11897,11152,11634,11953,11060,11779,10797,10068,11439,10264
Valleverde,2016,10465,10885,10147,11164,11361,10353,10774,11574,10204,11466,10154,11999
Valleverde,2017,10867,10427,10209,10754,10076,10582,10719,11498,10460,11448,11340,10145
Valleverde,2018,11715,11021,10001,11106,11830,10402,11160,10482,10655,10856,11874,10597
Valleverde,2019,11048,11816,11066,10434,11696,10705,11692,11087,11806,11100,11799,11060
Valleverde,2020,10811,11676,10394,10021,10738,11786,11109,10130,11380,10680,10009,10996
Valleverde,2021,11227,11987,11242,11550,11079,10633,11424,11996,10707,11994,10805,10099
Valleverde,2022,11669,10924,10377,11364,10660,10896,11289,10299,10770,11617,11399,10946
Valleverde,2023,11816,11873,10359,11610,10240,11502,11770,10315,10635,11724,10974,11211
Valleverde,2024,11596,10319,11758,11534,11980,10765,11862,10181,10904,11929,11786,11071
Monteaurora,2015,11214,12000,11409,10401,11887,11203,10769,10578,11066,10047,11124,11205
Monteaurora,2016,10258,11391,11143,11868,11422,11546,11574,10561,11456,10710,10200,11006
Monteaurora,2017,10049,10735,11460,10749,10293,11549,10841,11375,11504,11711,11081,11861
Monteaurora,2018,10695,10482,11744,11819,11141,11951,10370,10234,11251,11063,10816,11641
Monteaurora,2019,10509,11134,11852,10350,11674,11244,10492,11094,10057,10109,11119,10258
Monteaurora,2020,10375,10800,11644,11198,10537,10043,10756,11144,10434,10963,11470,11259
Monteaurora,2021,10644,11930,11728,10214,11291,10347,10399,11246,11447,10696,10845,11107
Monteaurora,2022,10407,10722,11991,11617,11400,10082,10705,11727,10086,10323,11652,11088
Monteaurora,2023,10870,11583,10843,10394,10676,10229,11020,11041,10304,11590,11916,10191
Monteaurora,2024,11311,11631,10019,11007,10256,11746,10885,11897,10883,10460,11445,10994
Rionegra,2015,11192,11917,10602,11130,10092,10361,10568,11823,10997,10021,10348,11122
Rionegra,2016,11508,10378,10859,11598,11954,10555,11506,10229,11000,11424,10410,11373
Rionegra,2017,11373,11636,11189,11063,11483,10799,11816,10625,11113,10092,10418,11252
Rionegra,2018,11854,10097,10786,11510,11058,10207,11171,10607,11685,11821,10247,11503
Rionegra,2019,10710,10332,11056,10310,11936,11192,10933,10525,11550,10274,11311,10971
Rionegra,2020,10292,10779,10404,11415,10738,10180,11481,10776,11344,10219,10901,11687
Rionegra,2021,11171,10729,11448,10130,10334,11807,10539,11325,11169,10154,11211,10351
Rionegra,2022,10022,10442,11241,11860,10582,11540,11868,11190,10480,11193,10582,11306
Rionegra,2023,10424,10591,11370,11862,11384,11460,10446,11476,10009,11808,10892,10152
Rionegra,2024,11069,10318,11036,10728,11447,10175,11252,10883,10133,10553,11698,11749
Fuenteluz,2015,11972,11227,10969,11054,11367,11793,11116,11943,11994,10506,11226,10636
Fuenteluz,2016,10819,11562,10048,10362,11379,11191,11041,11206,10466,11368,11682,10100
Fuenteluz,2017,10789,11027,10687,11222,10185,11519,10797,11870,10594,10682,11394,11235
Fuenteluz,2018,10619,11874,10905,10709,12000,10641,11598,11387,10642,11537,10006,10034
Fuenteluz,2019,11419,10131,10300,11293,11529,10845,10927,10188,10748,10799,10061,10894
Fuenteluz,2020,11010,10328,10833,11556,10168,10955,11217,10203,10345,11602,11844,11138
Fuenteluz,2021,10804,10424,11148,11468,11984,11239,11594,10305,11147,11871,11972,10751
Fuenteluz,2022,10338,11896,10634,11508,10830,10887,11123,10373,11457,11265,10498,11284
Fuenteluz,2023,10666,10776,11495,11242,10569,11403,10699,10031,10810,11797,10808,11196
Fuenteluz,2024,10069,10489,10535,11905,10696,11137,10914,10791,10076,11901,10674,10947
Ventisquero Alto,2015,11633,10410,11128,10370,11089,11771,10096,10480,11730,10149,10542,11346
Ventisquero Alto,2016,10690,10472,11551,10037,11064,10982,11774,10731,11443,10348,11672,10085
Ventisquero Alto,2017,10017,11274,10565,11892,10963,11390,10712,10649,11636,10599,10868,11296
Ventisquero Alto,2018,10866,11859,10709,11959,10976,10236,10630,11319,10063,10212,11324,11743
Ventisquero Alto,2019,11946,10669,10284,11003,10847,11833,10393,11650,11255,10272,10990,10282
Ventisquero Alto,2020,10214,11470,11613,10868,11642,10421,10259,10984,10238,11316,10668,11631
Ventisquero Alto,2021,11199,10793,11898,10889,11309,11553,10569,11830,11409,10396,11658,10673
Ventisquero Alto,2022,10607,11925,10618,10217,11766,10551,11513,10864,11989,11244,11485,11800
Ventisquero Alto,2023,10583,10020,11809,11065,11479,11905,11190,11903,10927,10531,10084,10141
Ventisquero Alto,2024,11045,11538,10793,11104,11491,10483,10903,11970,10122,10861,11545,11693
Cieloflor,2015,11667,11151,10131,11685,10293,11798,10555,10434,10784,11245,10200,10808
Cieloflor,2016,11178,10456,11529,10569,11825,10835,11639,11734,10451,11311,11884,10203
Cieloflor,2017,11274,10523,11790,11417,10679,10431,11694,10777,11074,10558,11887,10873
